id,id2,distritos,validos,CDU_CSU,SPD,AfD,FDP,LINKE,GRÜNE,OTROS,CDU_CSU_porc,SPD_porc,AfD_porc,FDP_porc,LINKE_porc,GRÜNE_porc,OTROS_porc,primero,primer.partido,segundo,segundo.partido
29,3,Cuxhaven – Stade II,140293,59930,43077,11862,6984,8121,8491,1828,42.71774072833285,30.70502448447178,8.455161697304927,4.978152865788029,5.788599573749225,6.052333330957353,1.302987319395836,CDU_CSU,42.71774072833285,SPD,30.70502448447178
30,3,Stade I – Rotenburg II,151852,67463,42829,12590,8797,7994,10613,1566,44.42681031530701,28.204435898111317,8.290967521007296,5.7931406896188395,5.264336327476753,6.989041961910281,1.031267286568501,CDU_CSU,44.42681031530701,SPD,28.204435898111317
31,3,Mittelems,178624,95815,47107,8949,10089,6813,8900,951,53.64060820494446,26.372156037262627,5.009965066284486,5.648177176639197,3.814157112146184,4.982533142242924,0.5324032604801147,CDU_CSU,53.64060820494446,SPD,26.372156037262627
32,3,Cloppenburg – Vechta,162119,93545,32997,12683,8306,6640,7034,914,57.70144153368821,20.3535674412006,7.823265625867418,5.123397010837718,4.095756820607085,4.338788174119011,0.5637833936799511,CDU_CSU,57.70144153368821,SPD,20.3535674412006
33,3,Diepholz – Nienburg I,146818,65465,40102,11955,10285,7759,11252,0,44.58921930553474,27.314089553052078,8.14273454208612,7.005271833153973,5.284774346469779,7.6639104197033054,0,CDU_CSU,44.58921930553474,SPD,27.314089553052078
34,3,Osterholz – Verden,151768,59560,48505,12995,8273,10714,10146,1575,39.24410943018291,31.959965210057454,8.562411048442359,5.451083232301935,7.059459174529545,6.685203732012019,1.0377681724737757,CDU_CSU,39.24410943018291,SPD,31.959965210057454
35,3,Rotenburg I – Heidekreis,126097,45510,51938,10331,5659,5219,6053,1387,36.09126307525159,41.1889259855508,8.192899117346169,4.487814936120606,4.138877213573677,4.80027280585581,1.0999468663013394,SPD,41.1889259855508,CDU_CSU,36.09126307525159
36,3,Harburg,160512,65223,44017,14826,10458,8638,14565,2785,40.63434509569378,27.42287181020734,9.236692583732058,6.51540071770335,5.381529106858054,9.074087918660286,1.7350727671451356,CDU_CSU,40.63434509569378,SPD,27.42287181020734
37,3,Lüchow-Dannenberg – Lüneburg,139618,46740,39169,12131,9245,11729,20604,0,33.477058831955766,28.054405592402127,8.688707759744446,6.621639043676317,8.400779269148677,14.757409503072669,0,CDU_CSU,33.477058831955766,SPD,28.054405592402127
38,3,Osnabrück-Land,150076,68379,42438,9934,9576,7908,11613,228,45.562914789839816,28.277672645859433,6.619312881473387,6.380767078013807,5.269330206028945,7.73807937311762,0.1519230256669954,CDU_CSU,45.562914789839816,SPD,28.277672645859433
39,3,Stadt Osnabrück,149408,60185,47279,NA,13353,12521,15108,NA,40.28231420004283,31.64422253159135,NA,8.937272435210966,8.380408010280574,10.111908331548511,NA,CDU_CSU,NA,SPD,31.64422253159135
40,3,Nienburg II – Schaumburg,145477,59128,47615,13292,6539,6530,11206,1167,40.64422554768108,32.7302597661486,9.136839500402125,4.494868604659156,4.488682059707032,7.7029358592767245,0.8021886621252845,CDU_CSU,40.64422554768108,SPD,32.7302597661486
41,3,Stadt Hannover I,133415,39487,47549,11364,8734,9579,12102,4600,29.59712176292021,35.639920548663945,8.517782857999476,6.546490274706743,7.17985234044148,9.070944046771352,3.447888168496796,SPD,35.639920548663945,CDU_CSU,29.59712176292021
42,3,Stadt Hannover II,147624,42713,49744,10590,8165,13775,16486,6151,28.933642226196284,33.69641792662439,7.1736303040156075,5.530943478025254,9.331138568254485,11.167560830217308,4.166666666666666,SPD,33.69641792662439,CDU_CSU,28.933642226196284
43,3,Hannover-Land I,180096,72282,59552,17217,9325,8958,10725,2037,40.13526119402985,33.06680881307747,9.559901385927505,5.177794065387349,4.974013859275053,5.955157249466951,1.131063432835821,CDU_CSU,40.13526119402985,SPD,33.06680881307747
44,3,Celle – Uelzen,160796,68655,48189,16199,8830,7901,9266,1756,42.69695763576208,29.96902908032538,10.074255578496977,5.491430135077987,4.913679444762307,5.762581158735292,1.0920669668399712,CDU_CSU,42.69695763576208,SPD,29.96902908032538
